"loc_id","latitude","longitude"
"L100032",45.1323611,-93.1303282
"L100057",41.9260641,-71.0377739
"L10007061",41.111452,-81.9649666
"L10011691",47.5069685,-122.9246092
"L1001179",35.1331763,-82.6860023
"L10011987",43.0752949,-74.3421
"L10012113",40.6681213,-73.4566692
"L1001960",61.5859823,-149.8332596
"L100209",45.25309,-93.30614
"L10022420",40.2976574,-75.1356799
"L10022496",40.783336,-75.4268932
"L10030695",38.142694,-78.526984
"L10032734",41.3668169,-83.6597461
"L10034033",39.085438,-84.284852
"L10034669",38.8089378,-77.1019616
"L10036849",40.1409261,-76.625433
"L10040484",42.2749511,-122.9821318
"L10041917",41.9777315,-71.452243
"L10042335",49.8815509,-97.1420118
"L10042450",49.2924779,-123.1353124
"L10042549",45.0719935,-76.2846529
"L10042779",45.4061336,-73.9454556
"L10043332",45.3617935,-75.8020699
"L10044509",44.3823942,-72.5896679
"L10045116",41.6659886,-87.8196073
"L10045148",41.3285832,-72.3195219
"L10045197",42.0835758,-87.7520452
"L10045207",43.9533129,-77.372117
"L10045269",40.601403,-122.375347
"L10046147",28.8328038,-81.5473443
"L10046204",50.2551628,-119.2253494
"L10046337",40.6072531,-105.1150005
"L10046643",37.7457243,-84.3038951
"L10047072",32.8806669,-97.169535
"L10047454",32.7341694,-95.5913544
"L10047689",42.1481605,-71.3274479
"L100480",38.9645177,-77.2670729
"L1004853",43.0542541,-91.1318006
"L10048829",34.104005,-81.4776939
"L10049605",43.0843968,-73.772437
"L10049673",46.646549,-96.7963743
"L10051289",27.9254503,-82.7216274
"L10051819",41.6184742,-80.1891553
"L10051918",47.9548515,-122.3540926
"L10054139",47.9795028,-116.5659235
"L10054725",48.6192973,-98.0441562
"L10055342",44.2664688,-73.9770727
"L10056031",42.1264211,-71.3501823
"L10056164",30.2117355,-97.7801932
"L10056416",43.7987456,-73.8058949
"L10056484",35.1488147,-90.0119101
"L10056545",38.6221878,-90.3128518
"L10058410",47.0731775,-123.0008121
"L10059326",44.5626187,-78.3431196
"L10059501",40.4497525,-76.1551187
"L10060078",35.1158366,-89.9505186
"L10060423",38.8905017,-94.8151093
"L10060481",47.5579902,-122.1295971
"L10061783",27.3566453,-82.2611323
"L10062036",33.0706961,-106.0200503
"L10062588",38.8039235,-90.5729091
"L10065314",34.0124799,-84.3750071
"L10065329",43.8278088,-80.5299139
"L10065363",45.6642064,-79.2225838
"L10065622",44.317582,-74.1304
"L10065814",43.5223196,-96.6746504
"L10065899",37.7628441,-85.8770601
"L10066181",38.3096894,-122.4968894
"L10066269",41.720257,-83.5995637
"L10066287",40.5665087,-75.0893621
"L10067023",40.3812179,-75.47422
"L10067430",42.8792132,-77.2985119
"L10070159",40.0271708,-80.7066822
"L10072335",42.0853087,-76.0385871
"L10073479",31.3161105,-94.6858567
"L10073608",45.305445,-122.296566
"L10074000",33.1640602,-117.1568517
"L10074435",51.0168797,-114.2171931
"L10074883",36.5581046,-121.9123704
"L10076651",32.0440233,-102.0123053
"L10077606",47.6899326,-122.0645697
"L10079150",39.123081,-94.2606179
"L10080720",38.9666,-77.342465
"L10081302",47.7585298,-122.0318617
"L10081336",41.3184429,-72.977359
"L10084374",32.9169177,-79.8247719
"L10085623",39.6642416,-104.9484452
"L10086084",38.8458663,-104.8368859
"L10088317",35.5755313,-82.5872977
"L10088784",41.6999211,-73.9804416
"L10089742",32.9168968,-97.1746759
"L10090266",49.7656881,-96.5408134
"L10090327",43.0330895,-86.1689965
"L10090343",57.0635048,-135.3553164
"L10090609",41.9980608,-72.2463083
"L10090666",39.5185491,-75.6254005
"L10092495",48.4952036,-122.678678
"L10093353",44.3474875,-78.2479066
"L10093457",44.0526894,-103.2118217
"L10093468",30.20314,-97.8465779
"L10093647",43.9484035,-78.6739625
"L10093912",38.7980757,-90.2842317
"L10094136",36.8024028,-76.0892034
"L10094181",45.405548,-71.9219247
"L10094213",43.7364444,-79.3371238
"L10094362",48.4435292,-123.4046441
"L10094939",43.4263757,-79.9307056
"L10095979",39.7958343,-84.8691916
"L10096312",46.5915737,-95.5771908
"L10096988",39.9246074,-76.4531005
"L10097006",43.5766511,-116.1374761
"L10097420",42.3913731,-87.8398079
"L10098075",29.8537287,-98.2251857
"L10098295",39.7057121,-85.8202445
"L10098304",41.9995398,-71.5806913
"L10098859",48.304204,-116.4180763
"L10099525",33.917451,-83.3871263
"L10099542",45.085879,-93.325627
"L10099749",40.5490787,-122.4171859
"L10099754",42.3446612,-88.1318459
"L10099920",29.7098407,-82.439433
"L10102557",40.5339429,-106.8106417
"L10102902",50.615077,-119.6494818
"L10102988",43.5125597,-80.2068298
"L10103171",42.6289582,-71.6119283
"L10104124",42.1072095,-72.6355237
"L10104966",40.006046,-75.547125
"L10105113",49.1720013,-123.9911829
"L10105166",43.13851,-77.5264962
"L10105535",41.8199154,-72.373091
"L10105889",40.8976782,-73.0989879
"L10105914",38.2143997,-122.635628
"L10106521",33.391245,-111.4364153
"L10107233",37.8892848,-122.0596412
"L10107261",38.8777306,-104.8010277
"L10107390",40.9026944,-74.4656828
"L10108686",41.0213605,-79.6036179
"L10108882",53.7352652,-114.1246777
"L10108938",39.3986639,-79.561698
"L10109866",37.2790086,-77.4249567
"L10110147",46.9474938,-92.125994
"L10110448",42.2815831,-77.6027955
"L10110833",47.3578244,-70.5432987
"L10111274",39.658111,-77.866212
"L10111404",45.4357435,-79.8991656
"L10113297",30.3984471,-90.9843707
"L10113770",47.3268191,-88.4685845
"L10113854",44.7313154,-85.0331521
"L10114235",32.443264,-80.5839079
"L10114262",40.415216,-77.091978
"L10114355",37.1056345,-122.0476127
"L10114627",39.5092909,-77.0795227
"L10114810",30.0617586,-98.0772793
"L10115275",43.0795462,-78.0663966
"L10115613",43.631521,-116.603644
"L10115736",39.7707465,-105.0665869
"L10115742",45.083288,-79.1593519
"L10115983",43.0576787,-77.0288144
"L10116354",47.6766049,-122.3303569
"L10117051",40.5647949,-74.1493124
"L10117390",44.1239463,-79.3051682
"L10117551",42.6480731,-73.8342102
"L10117900",42.271486,-71.247027
"L10118245",44.301961,-92.773084
"L10118442",43.6763496,-79.2921978
"L10118454",40.2013732,-105.1217613
"L10118607",40.0157174,-82.7750301
"L10118836",37.343134,-122.0158378
"L10119480",41.6605852,-91.4851163
"L10119501",34.2304311,-119.0612889
"L10119848",41.5972189,-87.8019032
"L10120831",45.8267265,-66.5135387
"L10121025",30.5588555,-97.8004501
"L10121596",41.7798169,-81.0526306
"L10121977",42.2395673,-88.0095915
"L10121979",40.8625113,-80.8328104
"L10122276",61.1105825,-149.8468622
"L10122299",45.5257381,-122.6287748
"L10122335",39.9642275,-89.8337406
"L10123861",44.8183454,-66.9902687
"L10124287",44.6174252,-63.608551
"L10124331",44.0538527,-77.0547152
"L10124375",32.7187818,-97.5214668
"L10124452",37.7513556,-122.4792854
"L10124462",50.7183249,-120.3663745
"L10124475",44.278945,-78.4365034
"L10124500",32.8805242,-97.1230459
"L10124515",39.0893014,-84.3955135
"L10124523",33.1429728,-96.8074358
"L10124530",36.276756,-82.464973
"L10124535",46.90968,-122.9821238
"L10124548",44.4531428,-124.0787441
"L10124582",38.4555696,-75.050916
"L10124638",41.5681109,-70.5063314
"L10125042",45.1782913,-72.7118224
"L10125124",40.460171,-86.901709
"L10125189",40.1585555,-89.3459535
"L10125290",43.2822704,-72.1306729
"L10126159",37.4755393,-77.2755361
"L10126244",45.149687,-79.772599
"L10126255",38.9097318,-77.4013852
"L10126402",29.5731958,-97.6490808
"L10126536",43.5253735,-79.6110146
"L10126627",34.1280326,-84.4138401
"L10126652",33.2957553,-112.072578
"L10126724",46.2048591,-116.8690503
"L10126795",33.2169644,-97.0985734
"L10127023",45.0004073,-92.8960283
"L10127084",43.5249895,-72.1104276
"L10127130",30.4199273,-97.7287066
"L10127464",44.7292243,-63.6755776
"L10127644",30.0221195,-96.292221
"L10128133",45.4573354,-74.150481
"L10128347",41.5525585,-74.2320442
"L10128380",43.0326372,-90.0564674
"L10128409",43.7939693,-80.0139188
"L10128413",41.3256701,-72.916965
"L10128660",39.9168997,-86.2962663
"L10128687",45.3134439,-93.5379334
"L10128707",42.9154836,-85.5047894
"L10128834",40.3159872,-80.0543
"L10129052",46.4538141,-80.9781004
"L10129214",39.0537542,-77.4217193
"L10129451",39.9764131,-105.2446454
"L10129626",42.3849519,-71.1784803
"L10129630",37.2349967,-76.7534682
"L10130473",46.4602551,-80.9790967
"L10130497",37.2678957,-76.671219
"L10130591",46.2215708,-79.3622142
"L10130606",41.989772,-72.6084977
"L10130756",34.7849914,-92.3768307
"L10130840",39.4581092,-77.5848665
"L10130877",42.3830961,-71.2444979
"L10130960",33.0237369,-97.1458237
"L10130981",38.5457976,-89.8735537
"L10131055",43.8922903,-70.5151183
"L10131168",49.848815,-97.228402
"L10131288",45.0585319,-93.6608814
"L10131434",33.9019357,-117.3194951
"L10131492",41.7783035,-71.354114
"L10131575",35.0376118,-80.774589
"L10131588",34.525362,-82.7097854
"L10131599",44.9806611,-93.1221342
"L10131658",36.0888589,-86.8088016
"L10131761",38.0699535,-122.5521228
"L10131997",55.0899551,-105.3239965
"L10132049",40.4954165,-74.4216247
"L10132204",37.9872578,-122.5759594
"L10132329",41.433839,-79.6786939
"L10132336",38.850642,-77.911491
"L10132396",38.3397544,-93.4840702
"L10132446",39.6490222,-104.9058068
"L10132514",47.6159375,-122.303871
"L10132529",31.5708482,-97.1523839
"L10132905",43.6463106,-80.5247346
"L10133056",45.4512159,-122.8458079
"L10133197",42.2715385,-83.0288578
"L10133390",47.661583,-122.2750694
"L10134008",32.584848,-80.157394
"L10134185",34.9787353,-82.3389369
"L10134226",42.7449479,-78.8907784
"L10134266",43.4968611,-80.243454
"L10134600",45.4500371,-122.7319263
"L10134689",36.7623381,-108.1413151
"L10134709",40.6627826,-124.2126524
"L10135428",35.0364255,-80.9115059
"L10135655",42.5187002,-76.2759253
"L10135809",39.6314279,-78.2188904
"L10135850",46.5915464,-90.9807336
"L10135875",39.139643,-94.3588632
"L10135952",41.828192,-70.7901844
"L10135972",41.8461636,-75.0388527
"L10136018",30.1145668,-95.3992316
"L10136641",36.010601,-80.36851
"L10136670",42.9575097,-77.8521155
"L10136705",49.681012,-124.927735
"L10137013",42.5015011,-76.5014237
"L10137035",43.7129138,-79.3735483
"L10137122",41.7678081,-71.5151422
"L10137183",45.6635928,-122.5832802
"L10137221",29.678727,-82.383336
"L10137242",39.0443069,-77.2660196
